key,en
PERCENT_MATERIALS,% Materials Gained
STAT_CURSE,Curse
OVERTIME_PAY_DESC,"Gain 1% Attack Speed per 80 Materials collected each wave (max +6% per wave, permanent)"
SECOND_MORTGAGE_DESC,+15% Materials at the end of each wave
VAMPIRE_FANG_DESC,Life Steal can heal up to 20% of your max HP past your max HP
FOOD_ITEM,Food item
ITEM_MYSTERY_SEASONING,Mystery Seasoning
STAT_APPETITE,Appetite
UPGRADE_APPETITE,Stomach
INFO_POS_STAT_APPETITE,Boosts food buffs. +{0} Appetite
INFO_NEG_STAT_APPETITE,Boosts food buffs. {0} Appetite
FOOD_ITEMS_PRICE,% Food Items Price
GAIN_STAT_PERCENT_DAMAGE,% Damage modifications
GAIN_STAT_MELEE_DAMAGE,% Melee Damage modifications
GAIN_STAT_ATTACK_SPEED,% Attack Speed modifications
NO_HEAL,Cannot heal in any way
GAIN_STAT_SPEED,% Speed modifications
GAIN_STAT_RANGED_DAMAGE,% Ranged Damage modifications
GAIN_STAT_LUCK,% Luck modifications
GAIN_STAT_DODGE,% Dodge modifications
GAIN_STAT_MAX_HP,% Max HP modifications
GAIN_STAT_HP_REGENERATION,% HP Regeneration modifications
GAIN_STAT_ELEMENTAL_DAMAGE,% Elemental Damage modifications
GAIN_STAT_ARMOR,% Armor modifications
EFFECT_ZOMBIE_DODGE_CAP,Dodge is capped at 10%. Anything raising the cap is 50% less effective
EFFECT_SLUG_SPEED_CAP,Speed is capped at -20%
EFFECT_MIME_MIRROR_SHOP,A Magic Mirror appears in every shop
EFFECT_MIME_MIRROR_WEAPONS,Magic Mirrors also work on weapons
EFFECT_JUGGLER_CYCLE,Weapons attack one at a time cycling left to right
EFFECT_JUGGLER_TEMPO,"A weapon fires every {0}s ({1}s), left to right: 0.3s divided by (100% + Attack Speed), ignoring weapon cooldowns"
EFFECT_MINIMALIST_ALL,Items give +2/+4/+6/+8 All Stats by their tier [+{0}]
EFFECT_MINIMALIST_SELL,You can recycle items by pressing them in the shop
EFFECT_MINIMALIST_CAP,You can hold a maximum of 6 items
EFFECT_TOURIST_MODS,+10% to all stat modifications per Danger level
EFFECT_TOURIST_ENEMY,+5% enemy health and enemy attack speed per Danger level
EFFECT_COMP_EATER_STACK,Food buffs are twice as strong but last half as long
EFFECT_GOURMET_EAT,+1 permanent Appetite for every 10 consumables eaten
EFFECT_GOURMET_NOHEAL,Consumables no longer heal you
EFFECT_BUTCHER_STEAK,+1% Damage per consumable eaten this wave
EFFECT_MINIMALIST_ALL12,They all give +12 instead while your 6 items are all max tier
GAIN_STAT_HARVESTING,% Harvesting modifications
GAIN_XP_GAIN,% XP Gain modifications
EFFECT_ESPRESSO_MACHINE,Spawns {0}x Espresso at the start of each wave
EFFECT_FOOD_ESPRESSO,Eating an Espresso grants +{0}% ({1}) Attack Speed for 12 seconds. Stacks
EFFECT_BUTCHERS_HOOK,Spawns {0}x Steak every 40 kills
EFFECT_FOOD_STEAK,Eating a Steak grants +{0}% ({1}) Damage for 9 seconds. Stacks
EFFECT_BAKERS_OVEN,Spawns {0}x Cake Slice on every level up
EFFECT_FOOD_CAKE_SLICE,Eating a Cake Slice heals {1} HP ({2}) and grants +{0} Max HP until the end of the wave. Stacks
EFFECT_BEEHIVE,Places a Beehive that drips a Honey Drop every {0} seconds
EFFECT_FOOD_HONEY_DROP,Eating a Honey Drop grants +{0} ({1}) HP Regeneration until the end of the wave. Stacks
EFFECT_WOK_STATION,Serves {0}x Fried Rice at the wok every 8 enemies that die burning. The wok plates up at most one dish every 2 seconds; extras queue
EFFECT_FOOD_FRIED_RICE,Eating Fried Rice grants +{0}% ({1}) Attack Speed for 10 seconds. Stacks
EFFECT_POPCORN_MACHINE,Each explosion has a {0}% ({1}%) chance to pop {2}x Popcorn
EFFECT_FOOD_POPCORN,Eating Popcorn grants +{0}% ({1}) Explosion Damage and +{2}% ({3}) Explosion Size for 9 seconds. Stacks
EFFECT_DEEP_FRYER,Spawns {0}x Fries every 30 materials you collect
EFFECT_FOOD_FRIES,Eating Fries grants +{0}% ({1}) Speed for 9 seconds. Stacks
EFFECT_SUSHI_BAR,Spawns {0}x Sushi Roll every 12 critical hits. The bar serves at most one roll every 2 seconds; extras queue
EFFECT_FOOD_SUSHI_ROLL,Eating a Sushi Roll grants +{0}% ({1}) Crit Chance for 10 seconds. Stacks
EFFECT_GRANDMAS_COOKBOOK,Spawns {0}x Warm Cookie when you take damage (2 second cooldown)
EFFECT_FOOD_WARM_COOKIE,Eating a Warm Cookie heals {2} HP and grants +{0} ({1}) HP Regeneration for 10 seconds. Stacks
EFFECT_PIZZA_DELIVERY,"Delivers {0}x Pizza Slice mid-wave, each to its own spot"
EFFECT_FOOD_PIZZA_SLICE,Eating a Pizza Slice grants +{0}% Damage and +{1}% Speed for {2} ({3}) seconds. Stacks
EFFECT_VICTORY_FEAST,Spawns {0}x Golden Apple when an elite or a boss dies
EFFECT_FOOD_GOLDEN_APPLE,Eating a Golden Apple heals {2} HP ({3}) and grants +20% to a random stat for {0} ({1}) seconds. Stacks
EFFECT_STREET_VENDOR,Mystery Meat shows up 3 to 6 times per wave ({0}x each)
EFFECT_FOOD_MYSTERY_MEAT,Eating Mystery Meat grants +{0}% ({1}) Damage for 14 seconds half the time. Otherwise you lose 2 HP. Stacks
EFFECT_FONDUE_SET,Spawns {0}x Cheese Cube every 3 seconds you stand still
EFFECT_FOOD_CHEESE_CUBE,Eating a Cheese Cube grants +{0}% ({1}) Dodge for 8 seconds. Stacks
EFFECT_GYM_MEMBERSHIP,Spawns {0}x Protein Shake every 180 steps
EFFECT_FOOD_PROTEIN_SHAKE,Eating a Protein Shake grants +{0}% ({1}) Speed and +{2} ({3}) Melee Damage for 10 seconds. Stacks
EFFECT_FANCY_RESTAURANT,Places a restaurant that serves an Escargot every {0} seconds to nearby players at full HP
EFFECT_FOOD_ESCARGOT,Eating an Escargot grants +{0} ({1}) Armor for 14 seconds. Stacks
EFFECT_FARMERS_MARKET,Banks every shop reroll as {0}x Fruit Salad served at the stall next wave
EFFECT_FOOD_FRUIT_SALAD,Eating a Fruit Salad heals {0} HP ({1}) and grants +{2} Harvesting permanently
EFFECT_AFTER_DINNER_MINTS,Spawns {0}x Mint every 8 Foods or fruit you eat
EFFECT_FOOD_MINT,Eating a Mint adds 6 seconds to all your active food buffs
GOURMET_APPETITE_GAINED,Appetite gained: {0}
GOURMET_HARVESTING_GAINED,Harvesting gained: {0}
GOURMET_SNAIL_ARMOR_GAINED,Armor gained: {0}
EFFECT_CHILI_GREENHOUSE,Grows {0}x Chili Pepper at the greenhouse every 10 burning ticks you deal. At most one pepper sprouts every 2 seconds; extras queue
EFFECT_FOOD_CHILI_PEPPER,Eating a Chili Pepper makes your attacks burn enemies for 8 seconds. Burns deal {0} ({1}) damage plus 30% Elemental Damage
EFFECT_DOGGY_BAG,"Food that expires uneaten banks a Leftover. Every banked Leftover is served somewhere on the map next wave, at most 50 per Doggy Bag each wave. The bank never resets"
EFFECT_FOOD_LEFTOVERS,Eating a Leftover grants +{0}% Damage until the end of the wave. Stacks with no limit. Leftovers never rot
EFFECT_ICE_CREAM_TRUCK,Places a truck that serves an Ice Cream every {0} seconds to nearby players
EFFECT_FOOD_ICE_CREAM,Eating an Ice Cream grants +{0}% ({1}) Attack Speed for 8 seconds. Stacks
DOGGY_BAG_LEFTOVERS,Leftovers banked: {0}
EFFECT_SOUL_FOOD,Every 20th consecutive food buff becomes permanent instead of temporary
EFFECT_SOUL_FOOD_RISK,Each food buff has a {0}% ({1}%) chance to instead become permanently negative and reset the count
SOUL_FOOD_BANKED,Permanent stats banked: {0}
SOUL_FOOD_FLIPPED,Permanent stats lost: {0}
OVERTIME_PAY_GAINED,Attack Speed gained: {0}
BUTCHER_CONSUMABLES_EATEN,Consumables eaten: {0}
SECOND_MORTGAGE_GAINED,Materials gained: {0}
SNACK_BREAK_GAINED,Materials gained: {0}
