key,en
BUTCHER_APPETITE_RENDERED,Appetite rendered: {0}
CHARACTER_TEST_ARMORY,Test Armory
CHEST_P2W_1,Chest I
CHEST_P2W_2,Chest II
CHEST_P2W_3,Chest III
CHEST_P2W_4,Chest IV
CHEST_P2W_5,Chest V
CHEST_P2W_6,Chest VI
CHEST_P2W_7,Chest VII
CHEST_P2W_8,Chest VIII
DEBTOR_DEBT_REPAID,Debt repaid: {0}
EFFECT_ENEMY_STEAK_DROPS,Enemies have a higher chance of dropping steaks
EFFECT_GAIN_STAT_FOR_EVERY_MEAT_RACK,{0} {1} for every current living meat rack [{4}]
EFFECT_MEAT_LOCKER_SPAWN,Spawns a meat locker that dispenses a steak every {0} seconds
EFFECT_MEAT_RACKS,More meat racks spawn
EFFECT_MEAT_RACKS_PLURAL,More meat racks spawn
EFFECT_MEAT_RACK_TURRET,Killing a meat rack spawns a turret
EFFECT_ONE_SHOT_MEAT_RACKS,Meat racks die in one hit
EFFECT_P2W_CHEST_CURSE,A cursed chest's item is 33% likely to come out cursed
EFFECT_P2W_CHEST_ODDS_1,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_2,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_3,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_4,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_5,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_6,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_7,Contains one item (70%) or weapon (30%):
EFFECT_P2W_CHEST_ODDS_8,Contains one item (70%) or weapon (30%):
EFFECT_P2W_ODDSROW_1_1,[color=#e6e6e6]White chance: 62%[/color]
EFFECT_P2W_ODDSROW_1_2,[color=#7adb58]Green chance: 20%[/color]
EFFECT_P2W_ODDSROW_1_3,[color=#5abeff]Blue chance: 10%[/color]
EFFECT_P2W_ODDSROW_1_4,[color=#00d2be]Teal chance: 6%[/color]
EFFECT_P2W_ODDSROW_1_5,[color=#ad5aff]Purple chance: 2%[/color]
EFFECT_P2W_ODDSROW_2_1,[color=#e6e6e6]White chance: 22%[/color]
EFFECT_P2W_ODDSROW_2_2,[color=#7adb58]Green chance: 40%[/color]
EFFECT_P2W_ODDSROW_2_3,[color=#5abeff]Blue chance: 20%[/color]
EFFECT_P2W_ODDSROW_2_4,[color=#00d2be]Teal chance: 10%[/color]
EFFECT_P2W_ODDSROW_2_5,[color=#ad5aff]Purple chance: 6%[/color]
EFFECT_P2W_ODDSROW_2_6,[color=#ff3b3b]Red chance: 2%[/color]
EFFECT_P2W_ODDSROW_3_2,[color=#7adb58]Green chance: 22%[/color]
EFFECT_P2W_ODDSROW_3_3,[color=#5abeff]Blue chance: 40%[/color]
EFFECT_P2W_ODDSROW_3_4,[color=#00d2be]Teal chance: 20%[/color]
EFFECT_P2W_ODDSROW_3_5,[color=#ad5aff]Purple chance: 10%[/color]
EFFECT_P2W_ODDSROW_3_6,[color=#ff3b3b]Red chance: 6%[/color]
EFFECT_P2W_ODDSROW_3_7,[color=#ff69c7]Pink chance: 2%[/color]
EFFECT_P2W_ODDSROW_4_3,[color=#5abeff]Blue chance: 22%[/color]
EFFECT_P2W_ODDSROW_4_4,[color=#00d2be]Teal chance: 40%[/color]
EFFECT_P2W_ODDSROW_4_5,[color=#ad5aff]Purple chance: 20%[/color]
EFFECT_P2W_ODDSROW_4_6,[color=#ff3b3b]Red chance: 10%[/color]
EFFECT_P2W_ODDSROW_4_7,[color=#ff69c7]Pink chance: 6%[/color]
EFFECT_P2W_ODDSROW_4_8,[color=#ffcd3c]Gold chance: 2%[/color]
EFFECT_P2W_ODDSROW_5_4,[color=#00d2be]Teal chance: 22%[/color]
EFFECT_P2W_ODDSROW_5_5,[color=#ad5aff]Purple chance: 40%[/color]
EFFECT_P2W_ODDSROW_5_6,[color=#ff3b3b]Red chance: 20%[/color]
EFFECT_P2W_ODDSROW_5_7,[color=#ff69c7]Pink chance: 10%[/color]
EFFECT_P2W_ODDSROW_5_8,[color=#ffcd3c]Gold chance: 8%[/color]
EFFECT_P2W_ODDSROW_6_5,[color=#ad5aff]Purple chance: 22%[/color]
EFFECT_P2W_ODDSROW_6_6,[color=#ff3b3b]Red chance: 40%[/color]
EFFECT_P2W_ODDSROW_6_7,[color=#ff69c7]Pink chance: 20%[/color]
EFFECT_P2W_ODDSROW_6_8,[color=#ffcd3c]Gold chance: 18%[/color]
EFFECT_P2W_ODDSROW_7_6,[color=#ff3b3b]Red chance: 22%[/color]
