key,en
BUTCHER_CONSUMABLES_EATEN,Consumables eaten: {0}
COMP_EATER_MOMENTUM,Momentum stacks: {0}
DELIVERY_DRONE_DELIVERED,Foods delivered: {0}
DISHWASHER_REFUNDED,Materials refunded: {0}
DOGGY_BAG_LEFTOVERS,Leftovers banked: {0}
ECHO_CHAMBER_PROCS,Effects repeated: {0}
EFFECT_AFTER_DINNER_MINTS,Spawns {0}x Mint every 8 Foods or fruit you eat
EFFECT_BAKERS_OVEN,Spawns {0}x Cake Slice on every level up
EFFECT_BBQ_GRILL,Spawns {0}x Ribs every 15 enemies that die within 300 range of you
EFFECT_BEEHIVE,Places a Beehive that drips a Honey Drop every {0} seconds
EFFECT_BUFFET_INSURANCE,Eating while below 20% HP heals {0} HP
EFFECT_BURNING_DAMAGE_TAKEN,{0}% burning damage taken
EFFECT_BURP_OF_POWER,Eating a food knocks back nearby enemies
EFFECT_BUTCHERS_HOOK,Spawns {0}x Steak every 40 kills
EFFECT_BUTCHER_DOUBLE,{0}% chance food spawns are doubled (his Steaks included)
EFFECT_BUTCHER_FRUIT,All fruit is replaced with a Steak
EFFECT_BUTCHER_RENDER,"At the end of each wave, 20% of the Damage gained that wave becomes permanent Appetite"
EFFECT_BUTCHER_STEAK,+1% Damage per consumable eaten this wave
EFFECT_CALTROPS,Enemies that hit you in melee take {0} ({1}) damage back
EFFECT_CHILI_GREENHOUSE,Grows {0}x Chili Pepper at the greenhouse every 10 burning ticks you deal. At most one pepper sprouts every 2 seconds; extras queue
EFFECT_COCKTAIL_BAR,Places a bar that serves a Bloody Mary every {0} seconds to nearby players
EFFECT_COMPOST_BIN,Expired food grants +1 permanent Harvesting
EFFECT_COMP_EATER_MOMENTUM,Gaining a food buff grants +5% Speed and +5% Pickup Range until the end of the wave
EFFECT_COMP_EATER_STACK,Food buffs are twice as strong but last half as long
EFFECT_CONSUMABLES_NO_HEAL,Consumables no longer heal you
EFFECT_COOLER_BOX,Foods on the ground never expire
EFFECT_CRIT_VS_ELITES,+{0}% Crit Chance against elites and bosses
EFFECT_DAMAGE_VS_BURNING,+{0} Damage against burning enemies
EFFECT_DEEP_FRYER,Spawns {0}x Fries every 30 materials you collect
EFFECT_DELIVERY_DRONE,Every food spawner you own serves {0} extra food at the start of each wave (Doggy Bag excluded)
EFFECT_DISHWASHER_EXPIRY,Food on the ground expires 50% faster
EFFECT_DISHWASHER_LEFTOVERS,Leftovers generation is doubled
EFFECT_DISHWASHER_REFUND,Expired food refunds 1 material
EFFECT_DOGGY_BAG,"Food that expires uneaten banks a Leftover. Every banked Leftover is served somewhere on the map next wave, at most 50 per Doggy Bag each wave. The bank never resets"
EFFECT_ECHO_CHAMBER,{0}% chance for on-kill effects to trigger twice
EFFECT_ESPRESSO_MACHINE,Spawns {0}x Espresso at the start of each wave
EFFECT_EXPLOSION_DAMAGE,+{0}% Explosion Damage
EFFECT_EXPLOSION_SIZE,+{0}% Explosion Size
EFFECT_FANCY_RESTAURANT,Places a restaurant that serves an Escargot every {0} seconds to nearby players at full HP
EFFECT_FARMERS_MARKET,Banks every shop reroll as {0}x Fruit Salad served at the stall next wave
EFFECT_FONDUE_SET,Spawns {0}x Cheese Cube every 3 seconds you stand still
EFFECT_FOOD_BLOODY_MARY,Drinking a Bloody Mary grants +{0}% ({1}) Life Steal for 10 seconds. Stacks
EFFECT_FOOD_BONUS_HEAL,Foods heal +{0} additional HP
EFFECT_FOOD_BUFF_DURATION,+{0}s food buff duration
EFFECT_FOOD_BUFF_STRENGTH,Food buffs are {0}% stronger
EFFECT_FOOD_CAKE_SLICE,Eating a Cake Slice heals {1} HP ({2}) and grants +{0} Max HP until the end of the wave. Stacks
EFFECT_FOOD_CHEESE_CUBE,Eating a Cheese Cube grants +{0}% ({1}) Dodge for 8 seconds. Stacks
EFFECT_FOOD_CHILI_DOG,Eating a Chili Dog grants +{0} ({1}) Ranged Damage for 10 seconds. Stacks
EFFECT_FOOD_CHILI_PEPPER,Eating a Chili Pepper makes your attacks burn enemies for 8 seconds. Burns deal {0} ({1}) damage plus 30% Elemental Damage
EFFECT_FOOD_COMA,+20% Damage while you have 5 or more food buffs
EFFECT_FOOD_ESCARGOT,Eating an Escargot grants +{0} ({1}) Armor for 14 seconds. Stacks
EFFECT_FOOD_ESPRESSO,Eating an Espresso grants +{0}% ({1}) Attack Speed for 12 seconds. Stacks
EFFECT_FOOD_FIGHT,Eating a food throws a projectile dealing {1} ({3}) damage
EFFECT_FOOD_FRIED_EGG,Eating a Fried Egg grants +{0} ({1}) Luck permanently
EFFECT_FOOD_FRIED_RICE,Eating Fried Rice grants +{0}% ({1}) Attack Speed for 10 seconds. Stacks
EFFECT_FOOD_FRIES,Eating Fries grants +{0}% ({1}) Speed for 9 seconds. Stacks
EFFECT_FOOD_FRUIT_SALAD,Eating a Fruit Salad heals {0} HP ({1}) and grants +{2} Harvesting permanently
EFFECT_FOOD_GOLDEN_APPLE,Eating a Golden Apple heals {2} HP ({3}) and grants +20% to a random stat for {0} ({1}) seconds. Stacks
EFFECT_FOOD_GUMBALL,Eating a Yellow Gumball grants +{0} ({1}) Engineering for 14 seconds. Stacks
EFFECT_FOOD_GUMBALL_BLUE,Eating a Blue Gumball grants +{0} ({1}) Armor for 14 seconds. Stacks
EFFECT_FOOD_GUMBALL_RED,Eating a Red Gumball grants +{0}% ({1}) Attack Speed for 14 seconds. Stacks
EFFECT_FOOD_HEAL_DISABLED,Foods no longer heal you
EFFECT_FOOD_HONEY_DROP,Eating a Honey Drop grants +{0} ({1}) HP Regeneration until the end of the wave. Stacks
EFFECT_FOOD_ICE_CREAM,Eating an Ice Cream grants +{0}% ({1}) Attack Speed for 8 seconds. Stacks
EFFECT_FOOD_LEFTOVERS,Eating a Leftover grants +{0}% Damage until the end of the wave. Stacks with no limit. Leftovers never rot
EFFECT_FOOD_MINT,Eating a Mint adds 6 seconds to all your active food buffs
EFFECT_FOOD_MYSTERY_MEAT,Eating Mystery Meat grants +{0}% ({1}) Damage for 14 seconds half the time. Otherwise you lose 2 HP. Stacks
EFFECT_FOOD_PIZZA_SLICE,Eating a Pizza Slice grants +{0}% Damage and +{1}% Speed for {2} ({3}) seconds. Stacks
EFFECT_FOOD_POPCORN,Eating Popcorn grants +{0}% ({1}) Explosion Damage and +{2}% ({3}) Explosion Size for 9 seconds. Stacks
EFFECT_FOOD_PROTEIN_SHAKE,Eating a Protein Shake grants +{0}% ({1}) Speed and +{2} ({3}) Melee Damage for 10 seconds. Stacks
EFFECT_FOOD_RIBS,Eating Ribs grants +{0} ({1}) Melee Damage for 10 seconds. Stacks
EFFECT_FOOD_SPAWNS_HALVED,Half as much food spawns
EFFECT_FOOD_SPEED_BURST,Eating a food grants +{0} ({1}) Speed for 2 seconds. Stacks
EFFECT_FOOD_STACK_CAP,+{0} max stacks to every food buff
EFFECT_FOOD_STEAK,Eating a Steak grants +{0}% ({1}) Damage for 9 seconds. Stacks
EFFECT_FOOD_SUSHI_ROLL,Eating a Sushi Roll grants +{0}% ({1}) Crit Chance for 10 seconds. Stacks
EFFECT_FOOD_WARM_COOKIE,Eating a Warm Cookie heals {2} HP and grants +{0} ({1}) HP Regeneration for 10 seconds. Stacks
EFFECT_FULL_BELLY,+{0} Armor while any food buff is active
EFFECT_GIRLY_FOOD,"After teleporting, spawns 2 Fries and 2 Fried Rice around her"
EFFECT_GIRLY_PANIC,"When hit, even by fully blocked damage, panics and teleports to the spot furthest from all enemies (10 second cooldown)"
EFFECT_GOURMET_EAT,+1 permanent Appetite for every 10 consumables eaten
EFFECT_GOURMET_FAT,"He gets 3% slower and 2% bigger for every 50 consumables eaten, up to +80% size. A bigger body is a bigger target, but it also reaches further for pickups"
EFFECT_GOURMET_FIRST_FOOD,The first food to spawn each wave is served twice
EFFECT_GOURMET_FRUIT,All fruit becomes food
EFFECT_GOURMET_NOHEAL,Consumables no longer heal you
EFFECT_GRANDMAS_COOKBOOK,Spawns {0}x Warm Cookie when you take damage (2 second cooldown)
EFFECT_GREASE_FIRE,"Eating a food ignites enemies in melee range for {0} ({1}) burn damage per tick, plus 50% Elemental Damage"
EFFECT_GUMBALL_MACHINE,"Dispenses {0}x random Gumball (yellow, red, or blue) at the machine every 5 kills your turrets get"
EFFECT_GYM_MEMBERSHIP,Spawns {0}x Protein Shake every 180 steps
EFFECT_HOT_DOG_CART,Spawns {0}x Chili Dog every 15 enemies that die more than 300 range from you
EFFECT_ICE_CREAM_TRUCK,Places a truck that serves an Ice Cream every {0} seconds to nearby players
EFFECT_LOYALTY_CARD,Every 5th shop purchase is 30% off
EFFECT_MYSTERY_MEAT_SAFE,Mystery Meat never rolls its bad outcome
EFFECT_NINE_LIVES,Survive lethal damage at 1 HP. Once per wave and 9 times per run
EFFECT_PANIC_BUTTON,Below 30% HP: a burst knocks back nearby enemies. 10 second cooldown
EFFECT_PICKUP_RANGE_BONUS,+{0}% Pickup Range
EFFECT_PICKY_ONE_SPAWNER,Only one food spawner type is active at a time. Press an owned spawner in the shop to choose it
EFFECT_PICKY_PENALTY,-15% Damage while no food buff is active
EFFECT_PICKY_SPAWNER_LIMIT,You can hold twice the limit of every food spawner
EFFECT_PICKY_STRONGER,The active spawner type's food is +100% stronger
EFFECT_PIZZA_DELIVERY,"Delivers {0}x Pizza Slice mid-wave, each to its own spot"
EFFECT_POCKET_SAND,Enemies that hit you are slowed 20% for 2 seconds
EFFECT_POPCORN_MACHINE,Each explosion has a {0}% ({1}%) chance to pop {2}x Popcorn
EFFECT_REGEN_PER_BURNING_ENEMY,+{0} HP Regeneration for every burning enemy
EFFECT_RUMINANT_ECHO,Every food buff triggers again at 50% strength 5 seconds later. Each echo has a 25% chance to chew again for half as much
EFFECT_SECOND_HELPING,{0}% chance food spawns are doubled
EFFECT_SET_MENU,Press an owned food spawner in the shop to make it the daily special. It triggers 40% faster and other spawners 20% slower
EFFECT_SLUG_SLIME,Enemies in the slime take {0} ({1}) damage every 0.5 seconds. Slimed stacks with burning
EFFECT_SLUG_SPEED_CAP,Speed is capped at -20%
EFFECT_SLUG_TRAIL,"Leaves a slime trail (lasts 7.5s) that slows enemies 30% (+2% per Level, max 90%). Trail width (base 26) and slow radius (base 45) each grow +6% per Level"
EFFECT_SNACK_BREAK,Eating a food has a 10% chance to grant materials equal to the wave number
EFFECT_SOUL_FOOD,Every 20th consecutive food buff becomes permanent instead of temporary
EFFECT_SOUL_FOOD_RISK,Each food buff has a {0}% ({1}%) chance to instead become permanently negative and reset the count
