key,en
BLACKSMITH_FORGES,Weapons forged: {0}
EFFECT_BLACKSMITH_CLASS_DOUBLE,Weapon class bonuses are doubled. Their drawbacks are not
EFFECT_BLACKSMITH_CLASS_TIERS,"Weapon class level comes from the total weapon tiers you own in that class: 1 level per 4 tiers, up to 6"
EFFECT_BLACKSMITH_FORGE,"Combine two weapons of the same tier sharing a class into a random weapon of that class one tier higher. At max tier, combine into a different max-tier weapon instead"
EFFECT_BLACKSMITH_SHOP_WEAPONS,The shop only offers weapons
EFFECT_BLACKSMITH_TIERS,Weapons come in 8 tiers instead of 4
WEAPON_CHAMPAGNE_POPPER,Champagne Popper
WEAPON_CHEESE_GRATER,Cheese Grater
WEAPON_CLEAVER,Cleaver
WEAPON_CORN_CANNON,Corn Cannon
WEAPON_GALLEY_CANNON,Galley Cannon
WEAPON_PIZZA_CUTTER,Pizza Cutter
WEAPON_SKEWER,Skewer
